url,date,time,author_name,author_link,quoted_user,posting,posting_wo_quote
/t3279775,2020-11-07,22:29,Lilacwine84,/u1042734,NA,Såg precis ett blå grönt sken över Stockholm Precis som den där asteroiden i Ryssland Någon mer som såg,Såg precis ett blå grönt sken över Stockholm Precis som den där asteroiden i Ryssland Någon mer som såg
/t3279775,2020-11-07,22:31,Icaruz,/u705234,NA,Såg skenet på himmelen i Västerås också Hörde ett mullrande ljud någon minut senare,Såg skenet på himmelen i Västerås också Hörde ett mullrande ljud någon minut senare
/t3279775,2020-11-07,22:33,Lilacwine84,/u1042734,NA,Citat Ursprungligen postat av IcaruzSåg skenet på himmelen i Västerås också Hörde ett mullrande ljud någon minut senare Coolt Måste varit något stort,Coolt Måste varit något stort
/t3279775,2020-11-07,22:33,Hummeldjungel,/u1247298,NA,Ligger ute i spat i västmanland och hela himlen lyste upp under ca 5 10 sekunder,Ligger ute i spat i västmanland och hela himlen lyste upp under ca 5 10 sekunder
/t3279775,2020-11-07,22:33,corv1,/u245810,NA,Syndes i strängnäs med Och muller ca 4 minuter efter,Syndes i strängnäs med Och muller ca 4 minuter efter
/t3279775,2020-11-07,22:33,Airborne1522,/u1231826,NA,Såg i Västerås det vart som dag utomhus,Såg i Västerås det vart som dag utomhus
/t3279775,2020-11-07,22:33,PengarBorta,/u1113319,NA,Citat Ursprungligen postat av IcaruzSåg skenet på himmelen i Västerås också Hörde ett mullrande ljud någon minut senare Aa samma här frågade min kompis som bor typ 10 min från mig och hörde hans morsa o flickvän bli galen över att himmelen blev helt ljust sen mörkt,Aa samma här frågade min kompis som bor typ 10 min från mig och hörde hans morsa o flickvän bli galen över att himmelen blev helt ljust sen mörkt
/t3279775,2020-11-07,22:35,Sectoid,/u97545,NA,Såg inte ljuset men mullret var jävligt läskigt Aldrig hört något liknande,Såg inte ljuset men mullret var jävligt läskigt Aldrig hört något liknande
/t3279775,2020-11-07,22:36,Yottameter,/u1391434,NA,Varför blir folk alltid så stolliga av asteroider och meteoriter egentligen Det är en helt normal grej Finns triljarder stenar som far omkring i solsystemet så klart att någon ibland landar på oss,Varför blir folk alltid så stolliga av asteroider och meteoriter egentligen Det är en helt normal grej Finns triljarder stenar som far omkring i solsystemet så klart att någon ibland landar på oss
/t3279775,2020-11-07,22:36,mullpung,/u719556,NA,Eskilstuna blev ljust på himlen,Eskilstuna blev ljust på himlen
/t3279775,2020-11-07,22:37,W.Irving,/u237319,NA,Såg ljuset i Uppsala Inget ljud men ljuset räckte gott och väl,Såg ljuset i Uppsala Inget ljud men ljuset räckte gott och väl
/t3279775,2020-11-07,22:37,snegda,/u1298033,NA,Såg också över Slussen såg ut som ett rymdskepp,Såg också över Slussen såg ut som ett rymdskepp
