url,date,time,author_name,author_link,quoted_user,posting,posting_wo_quote
/t3279408,2020-11-06,15:43:00,Leipreachan,/u1068078,NA,Låter kraftigt för ett djur som är mindre än björn lejon tiger https en wikipedia org wiki Spotted hyena Citat A 63 1 kg 139 lb spotted hyena is estimated to have a bite force of 565 7 newtons at the canine tip and 985 5 newtons at the carnassial eocone One individual in a study was found to exert a bite force of 4 500 newtons on the measuring instruments,Låter kraftigt för ett djur som är mindre än björn lejon tiger https en wikipedia org wiki Spotted hyena
/t3279408,2020-11-06,15:44:00,anon666,/u1124859,NA,Citat Ursprungligen postat av LeipreachanLåter kraftigt för ett djur som är mindre än björn lejon tiger https en wikipedia org wiki Spotted hyenafullt rimligt studera kraniet och jämför hävarmarna från andra djur är väl en kul övning,fullt rimligt studera kraniet och jämför hävarmarna från andra djur är väl en kul övning
/t3279408,2020-11-06,15:54:00,Leipreachan,/u1068078,anon666,Citat Ursprungligen postat av anon666fullt rimligt studera kraniet och jämför hävarmarna från andra djur är väl en kul övning Cool En annan grej som jag är skeptisk till med hyenor är att det hävdas att arten har en intelligens som kan mätas med schimpanser,Cool En annan grej som jag är skeptisk till med hyenor är att det hävdas att arten har en intelligens som kan mätas med schimpanser
/t3279408,2020-11-06,15:55:00,Opaque,/u263689,NA,Låter helt otroligt Är det verkligen Nm Newtonmeter vi talar om här Eller är det ännu en exotisk imperial mätning som bakåtländerna USA och Liberia fortfarande tillämpar Edit 4500 Newtons N 458 874 Kilograms Force kgf Inga otroliga siffror vi människor kan komma upp i 1000NM och då har vi mycket mindre käkar och mindre käkmuskler Men så teoretiskt alltså inga problem för en frisk människa att tugga med minst 100kg kraft,Låter helt otroligt Är det verkligen Nm Newtonmeter vi talar om här Eller är det ännu en exotisk imperial mätning som bakåtländerna USA och Liberia fortfarande tillämpar Edit 4500 Newtons N 458 874 Kilograms Force kgf Inga otroliga siffror vi människor kan komma upp i 1000NM och då har vi mycket mindre käkar och mindre käkmuskler Men så teoretiskt alltså inga problem för en frisk människa att tugga med minst 100kg kraft
/t3279408,2020-11-06,16:15:00,4yoonly,/u618944,NA,Denna såg jag på för ett tag sedan Ganska kul https www youtube com watch v tcu0eddBQHwOch är on topic,Denna såg jag på för ett tag sedan Ganska kul https www youtube com watch v tcu0eddBQHwOch är on topic
/t3279408,2020-11-06,17:39:00,VissenBuske1987,/u788720,NA,Hur mycket har människor Skillnad mellan män o kvinnor,Hur mycket har människor Skillnad mellan män o kvinnor
/t3279408,2020-11-06,17:46:00,Kraftkarl,/u1337380,NA,Den fläckiga hyenan har en extrem bettstyrka Så pass stark att den bokstavligen kan krossa ben fullständigt och förtära det vilket kan synas på dess vita avföring som innehåller mycket kalcium De rovdjur som nämnts i trådstarten kommer inte ens i närheten utav hyenas bettstyrka Gällande lejonet som nämnts så har den faktiskt en förvånansvärt svag bettstyrka dess dödliga bett bygger mer med att bita tag och kväva bytet till döds Det kattdjur som har starkast käkar är jaguaren,Den fläckiga hyenan har en extrem bettstyrka Så pass stark att den bokstavligen kan krossa ben fullständigt och förtära det vilket kan synas på dess vita avföring som innehåller mycket kalcium De rovdjur som nämnts i trådstarten kommer inte ens i närheten utav hyenas bettstyrka Gällande lejonet som nämnts så har den faktiskt en förvånansvärt svag bettstyrka dess dödliga bett bygger mer med att bita tag och kväva bytet till döds Det kattdjur som har starkast käkar är jaguaren
/t3279408,2020-11-06,18:01:00,Lastmaskin,/u1127431,NA,Ja varför tror du kattdjuren håller sig på avstånd från dem extremt hårt bett och intelligensen är väldigt hög Men det kunde man kanske räkna ut om man tittar på tv om dem Sjukt smarta,Ja varför tror du kattdjuren håller sig på avstånd från dem extremt hårt bett och intelligensen är väldigt hög Men det kunde man kanske räkna ut om man tittar på tv om dem Sjukt smarta
/t3279408,2020-11-06,19:23:00,finnenandersson,/u1393675,NA,Förvisso mer än tre gånger så starkt som en stor hund men jag tycker ändå inte det verkar särskilt mycket med tanke på att de har så trubbig nos Jaguaren och leoparden har starkare bett Tom vissa sköldpaddor biter lika kraftigt och krokodiler 3 5 gånger så starkt,Förvisso mer än tre gånger så starkt som en stor hund men jag tycker ändå inte det verkar särskilt mycket med tanke på att de har så trubbig nos Jaguaren och leoparden har starkare bett Tom vissa sköldpaddor biter lika kraftigt och krokodiler 3 5 gånger så starkt
/t3279408,2020-11-06,19:42:00,Imperialwitch,/u1366227,NA,Citat Ursprungligen postat av LeipreachanCool En annan grej som jag är skeptisk till med hyenor är att det hävdas att arten har en intelligens som kan mätas med schimpanserDe allra mest intelligenta djuren är matriarkala så det ligger nog något i det Hur starkt bett har valrossar någon som vet Hyenor käkar till och med elefantungar vet jag iaf,De allra mest intelligenta djuren är matriarkala så det ligger nog något i det Hur starkt bett har valrossar någon som vet Hyenor käkar till och med elefantungar vet jag iaf
/t3279408,2020-11-06,19:58:00,Perversitet,/u1266042,NA,Ganska obergiplig rubrik eller,Ganska obergiplig rubrik eller
/t3279408,2020-11-09,06:23:00,Leipreachan,/u1068078,NA,Citat Ursprungligen postat av LastmaskinJa varför tror du kattdjuren håller sig på avstånd från dem extremt hårt bett och intelligensen är väldigt hög Men det kunde man kanske räkna ut om man tittar på tv om dem Sjukt smartaMen att dom utklassar schimpanser ställer jag mig skeptisk till,Men att dom utklassar schimpanser ställer jag mig skeptisk till
/t3279408,2020-11-09,17:58:00,solnet,/u1110587,NA,stämmer säkert bra inte träffat någon i verkligheten,stämmer säkert bra inte träffat någon i verkligheten
/t3279408,2020-11-09,19:54:00,Duerf,/u1042473,NA,Hyenor ägnar sig också åt det som på engelska kallas siblicide vilket innebär att en nyfödd unge dödar sina syskon för att visa sig vara värda att satsa resurser på för sin moder,Hyenor ägnar sig också åt det som på engelska kallas siblicide vilket innebär att en nyfödd unge dödar sina syskon för att visa sig vara värda att satsa resurser på för sin moder
/t3279408,2020-11-09,22:41:00,NivekOgre,/u835005,NA,Citat Ursprungligen postat av DuerfHyenor ägnar sig också åt det som på engelska kallas siblicide vilket innebär att en nyfödd unge dödar sina syskon för att visa sig vara värda att satsa resurser på för sin moder Har även även läst att ugnarna ärver sin mors position och att flocken eller klanen som man även kallar det kan bestå upp till 80 individer Verkar inte omöjliga att få tama Måste säga att han har ballar av stål Ganska fantastiskt att dom inte har anfallit honom https www youtube com watch v oyHdciGSykchttps www youtube com watch v uSxsycs3HE4,Har även även läst att ugnarna ärver sin mors position och att flocken eller klanen som man även kallar det kan bestå upp till 80 individer Verkar inte omöjliga att få tama Måste säga att han har ballar av stål Ganska fantastiskt att dom inte har anfallit honom https www youtube com watch v oyHdciGSykchttps www youtube com watch v uSxsycs3HE4
