url,date,time,author_name,author_link,quoted_user,posting,posting_wo_quote
/t3280446,2020-11-10,04:14:00,NegerStryparen,/u1383582,NA,Från BBChttps www bbc com news world australia 54882214Paranthropus robustus kallas den Forskare från Australien har pusslat ihop skallen under drygt två års tid då de första små benfragmenten hittades utanför Johannesburg Sydafrika Citat Two million year old skull of human cousin unearthedAustralian researchers say the discovery of a two million year old skull in South Africa throws more light on human evolution The skull was a male Paranthropus robustus a cousin species to Homo erectus a species thought to be direct ancestors of modern humans The two species lived around the same time but Paranthropus robustus died out earlier The research team described the find as exciting Most of the fossil record is just a single tooth here and there so to have something like this is very rare very lucky Dr Angeline Leece told the BBC The researchers from Melbourne s La Trobe University found the skull s fragments in 2018 at the Drimolen archaeological site north of Johannesburg It was uncovered just metres away from a spot where a similarly aged Homo erectus skull of a child was discovered in 2015 Synpunkter på detta Nu kan man inte kalla Paranthropus robustus för en människo ras utan snarare en människoliknande art en hominid Man torde kunna dels datera den ganska noggrant Man kan rentav hoppas på att hitta DNA tex i tänderna som ser ut att vara i gott skick Hominider är det vetenskapliga namnet på de människoliknande aporna Vad tror ni här då,Från BBChttps www bbc com news world australia 54882214Paranthropus robustus kallas den Forskare från Australien har pusslat ihop skallen under drygt två års tid då de första små benfragmenten hittades utanför Johannesburg Sydafrika Synpunkter på detta Nu kan man inte kalla Paranthropus robustus för en människo ras utan snarare en människoliknande art en hominid Man torde kunna dels datera den ganska noggrant Man kan rentav hoppas på att hitta DNA tex i tänderna som ser ut att vara i gott skick Hominider är det vetenskapliga namnet på de människoliknande aporna Vad tror ni här då
/t3280446,2020-11-10,05:21:00,Atthaenhobby,/u1393619,NA,Många svarta etniska grupper ser ju ut som apor Mer än som en Skandinav Så det är väl inte så märkligt Roligare vore ju att hitta rester från 30 000 100 000 år sedan,Många svarta etniska grupper ser ju ut som apor Mer än som en Skandinav Så det är väl inte så märkligt Roligare vore ju att hitta rester från 30 000 100 000 år sedan
/t3023315,2019-02-27,19:02:00,knallpulver-fikus,/u977257,NA,Självfallet är inte negrer några apor men vissa av dem påminner ju faktiskt om sådana djur Dock ser inte alla likadana ut alla liknar inte gorillor t ex Nån som känner till namnet på de mest aplika negerraserna De här bilderna är klassiska http www quickmeme com img 9f 9f06 9359760769 jpghttps pics me me i are the niggest ga 4392368 pngTillhör killen på bilderna nån av de mest aplika negerraserna och vilken typ av neger är det isåfall fråga om,Självfallet är inte negrer några apor men vissa av dem påminner ju faktiskt om sådana djur Dock ser inte alla likadana ut alla liknar inte gorillor t ex Nån som känner till namnet på de mest aplika negerraserna De här bilderna är klassiska http www quickmeme com img 9f 9f06 9359760769 jpghttps pics me me i are the niggest ga 4392368 pngTillhör killen på bilderna nån av de mest aplika negerraserna och vilken typ av neger är det isåfall fråga om
/t3023315,2019-02-27,19:14:00,knallpulver-fikus,/u977257,NA,Här är en annan lite skräckinjagande och gorillaliknande herre https pbs twimg com media AxvA1x6CAAAWuID jpg,Här är en annan lite skräckinjagande och gorillaliknande herre https pbs twimg com media AxvA1x6CAAAWuID jpg
/t3023315,2019-02-27,19:16:00,Ricky1891,/u1059181,NA,Dom från Afrika,Dom från Afrika
/t3023315,2019-02-27,19:18:00,mandis96,/u1184317,NA,Men snälla dem där bilderna är redigerade Ibland påminner vissa människor mig om apor ja men sällen svarta för dem är långa Oftast korta muskliga killar ser ut som gorillor,Men snälla dem där bilderna är redigerade Ibland påminner vissa människor mig om apor ja men sällen svarta för dem är långa Oftast korta muskliga killar ser ut som gorillor
/t3023315,2019-02-27,19:20:00,knallpulver-fikus,/u977257,mandis96,Citat Ursprungligen postat av mandis96Men snälla dem där bilderna är redigerade Ibland påminner vissa människor mig om apor ja men sällen svarta för dem är långa Oftast korta muskliga killar ser ut som gorillorOk ja jag har ingen aning det är ju helt omöjligt att veta om bilderna är fejk Dock tycker jag att man ibland ser svarta män som lite ser ut som gorillor t ex Mike Tyson,Ok ja jag har ingen aning det är ju helt omöjligt att veta om bilderna är fejk Dock tycker jag att man ibland ser svarta män som lite ser ut som gorillor t ex Mike Tyson
/t3023315,2019-02-27,19:33:00,Sten-Ulph,/u1217321,NA,Bantunegern är rätt gorillalik https www theapricity com snpa bil leo negrid jpg,Bantunegern är rätt gorillalik https www theapricity com snpa bil leo negrid jpg
/t3023315,2019-02-27,19:37:00,knallpulver-fikus,/u977257,NA,Har ingen aning om bilden är fejk men den här killen är riktigt svart och gorillaliknande https i warosu org data biz img 00 2201808227 jpg,Har ingen aning om bilden är fejk men den här killen är riktigt svart och gorillaliknande https i warosu org data biz img 00 2201808227 jpg
/t3023315,2019-02-27,19:54:00,Mackan52,/u178422,NA,Kongoleser utan tvekan Googla bara congolese och se själva,Kongoleser utan tvekan Googla bara congolese och se själva
